sgRNA	Gene	baseline_1	fxn_1	baseline_2	fxn_2
sgGXYLT1_3	GXYLT1	536	584	990	790
sgRNF150_1	RNF150	1836	2376	831	393
sgHOXC10_3	HOXC10	1446	1313	999	1816
sgRNF123_2	RNF123	362	314	391	405
sgNCKAP1L_3	NCKAP1L	499	325	301	321
sgJMY_3	JMY	1171	893	1660	747
sgMUC21_2	MUC21	509	146	2706	1693
sgDDX31_2	DDX31	332	203	725	886
sgFAM151A_1	FAM151A	2033	1347	1290	1891
sgJMJD4_2	JMJD4	534	585	517	699
sgUBE2Q2L_2	UBE2Q2L	623	861	104	119
sgTSPAN10_2	TSPAN10	1412	1385	3277	3142
sgTBC1D30_1	TBC1D30	1188	1090	99	80
sgLSMEM2_1	LSMEM2	1798	1303	2551	1370
sgRPL4_1	RPL4	1152	956	853	380
sgTHEG5_3	THEG5	2856	1860	649	396
sgMCM3AP_3	MCM3AP	427	381	509	841
sgGID4_4	GID4	625	597	1418	661
sgEHBP1L1_1	EHBP1L1	685	996	3068	3026
sgLSM14B_3	LSM14B	708	479	1111	1088
sgPSEN1_1	PSEN1	954	1371	1692	1500
sgMYH7B_2	MYH7B	674	380	286	425
sgABCG8_2	ABCG8	2064	2052	1553	1190
sgDNLZ_2	DNLZ	428	196	182	406
sgPQLC1_4	PQLC1	1198	810	5062	1780
sgPDE1C_4	PDE1C	3292	1896	1508	1364
sgFAM209A_2	FAM209A	1880	2048	2127	1040
sgSPATA5_3	SPATA5	488	591	1390	1488
sgCCDC6_2	CCDC6	1227	755	600	637
sgOOEP_3	OOEP	1452	1772	773	581
sgRGPD4_1	RGPD4	1222	1196	2173	2500
sgKCNK3_4	KCNK3	1234	1454	2608	1970
sgCDC42SE1_4	CDC42SE1	848	689	2532	1352
sgANKRD40_1	ANKRD40	368	434	35	78
sgLMBR1L_2	LMBR1L	765	705	301	137
sgASNS_3	ASNS	810	876	2215	2293
sgARHGAP28_3	ARHGAP28	1236	974	390	345
sgSHCBP1L_3	SHCBP1L	2209	1358	1260	539
sgCENPH_2	CENPH	697	1058	934	1087
sgPOP1_4	POP1	395	530	592	606
sgZNF490_4	ZNF490	932	887	209	781
sgTFB1M_2	TFB1M	817	1096	656	1143
sgFEM1C_1	FEM1C	825	783	220	267
sgSLC35G1_3	SLC35G1	1043	520	415	574
sgPPFIA1_2	PPFIA1	216	279	2440	633
sgSLC24A3_2	SLC24A3	604	465	1079	1282
sgRNF225_3	RNF225	441	242	1446	1021
sgFAM210A_4	FAM210A	676	681	876	487
sgPRR35_1	PRR35	951	1034	2278	2063
sgFCGR3A_1	FCGR3A	918	495	896	536
sgATP5J2-PTCD1_2	ATP5J2-PTCD1	568	903	4458	3269
sgRANBP10_4	RANBP10	458	486	884	681
sgLINC00452_1	LINC00452	845	498	669	675
sgACVR1_1	ACVR1	939	761	427	285
sgRPS24_4	RPS24	607	150	45	95
sgMVB12B_2	MVB12B	1702	1481	2805	2193
sgCLIC5_2	CLIC5	928	439	1114	909
sgCGB8_1	CGB8	1399	1482	620	1259
sgARID2_1	ARID2	942	1016	3086	1798
sgMAGEA10-MAGEA5_1	MAGEA10-MAGEA5	2931	2178	17434	4918
sgBCAP31_4	BCAP31	880	790	148	192
sgULBP2_2	ULBP2	1109	1131	2075	1959
sgRADIL_2	RADIL	1052	549	3128	1669
sgPHACTR2_2	PHACTR2	692	611	1243	514
sgAAK1_2	AAK1	1398	968	3435	2440
sgRANGAP1_3	RANGAP1	651	803	207	576
sgTPD52L1_4	TPD52L1	2186	1409	2006	699
sgOR11H12_1	OR11H12	259	335	1023	638
sgMSLN_3	MSLN	2061	1266	816	1086
sgPARP16_4	PARP16	1498	1147	1239	1021
sgOSCP1_1	OSCP1	726	648	776	560
sgCRK_2	CRK	637	474	1880	2616
sgDYNLT3_1	DYNLT3	640	464	4069	3003
sgINTRON-RAB7A_4	NegCtrlIntron	842	527	280	203
sgAPOLD1_1	APOLD1	923	919	46	114
sgCOMMD3_3	COMMD3	1326	744	1647	1678
sgPRKCH_1	PRKCH	2632	2433	2012	1476
sgRAB41_3	RAB41	1163	1481	1611	1218
sgTKTL1_1	TKTL1	1126	859	471	543
sgOGG1_3	OGG1	646	942	5969	3855
sgDTWD1_1	DTWD1	1886	1968	667	558
sgBUB1B_1	BUB1B	1057	524	993	620
sgFOXJ2_1	FOXJ2	2084	1408	110	54
sgST7_4	ST7	687	341	590	434
sgRBMY1E_1	RBMY1E	166	156	574	296
sgNOS1_2	NOS1	900	960	1013	743
sgATXN3_1	ATXN3	484	766	1332	804
sgST8SIA6_4	ST8SIA6	1615	1110	1768	1388
sgMFHAS1_3	MFHAS1	1735	2134	718	351
sgTRAM1_1	TRAM1	1440	965	3033	2081
sgZNF701_2	ZNF701	1006	1109	1144	1318
sgEDEM2_3	EDEM2	1105	942	1711	1876
sgC5AR2_3	C5AR2	1001	728	372	125
sgKMT2E_4	KMT2E	1044	670	954	590
sgMDFIC_4	MDFIC	526	512	8266	5285
sgWLS_3	WLS	983	1130	1936	2134
sgFIGNL1_3	FIGNL1	2585	1623	507	339
sgST7_2	ST7	699	984	171	252
sgLRMP_1	LRMP	1078	828	2715	999
sgOR5I1_3	OR5I1	258	114	756	834
sgFKBP11_1	FKBP11	639	453	6237	2516
sgCCDC172_4	CCDC172	935	1047	1451	1252
sgLILRA2_1	LILRA2	881	697	7702	3776
sgJPH3_3	JPH3	1392	931	24228	6577
sgFAM155B_2	FAM155B	1114	812	3877	2936
sgTIAF1_2	TIAF1	1435	1928	1742	1760
sgHLA-DRB1_2	HLA-DRB1	1525	1108	2601	2008
sgSLC7A4_1	SLC7A4	3497	2959	3688	2468
sgC16orf58_4	C16orf58	248	208	642	678
sgTRIM7_3	TRIM7	296	223	311	438
sgTRPC4AP_4	TRPC4AP	474	418	1774	1127
sgIRX5_1	IRX5	708	632	4183	3874
sgMEF2D_3	MEF2D	398	286	1963	986
sgGYS2_2	GYS2	1479	1381	6043	4001
sgMPP4_4	MPP4	486	700	276	261
sgC11orf21_2	C11orf21	1415	1171	1626	1040
sgPDZD3_3	PDZD3	621	523	1702	687
sgCC2D1B_2	CC2D1B	339	183	186	215
sgMLN_1	MLN	505	319	235	175
sgSUGP2_4	SUGP2	814	566	271	167
sgTMEM151B_3	TMEM151B	1582	1301	3282	1822
sgGP2_3	GP2	728	1136	1156	743
sgURM1_3	URM1	239	144	73	40
sgCRIM1_3	CRIM1	369	333	368	542
sgPACS2_2	PACS2	1030	1182	1222	1172
sgNTM_1	NTM	1087	1559	1185	415
sgCD8B_2	CD8B	506	515	1162	1001
sgUPF1_4	UPF1	395	273	213	324
sgGPR176_4	GPR176	1425	1272	7730	4852
sgDAZ2_4	DAZ2	783	529	466	144
sgRASSF1_3	RASSF1	411	353	3082	1029
sgZNF69_3	ZNF69	588	366	2830	1634
sgPSD3_4	PSD3	1045	1064	876	539
sgAGBL5_4	AGBL5	613	427	783	906
sgARID4B_3	ARID4B	1615	986	1350	1613
sgSMOC1_2	SMOC1	1482	1053	1893	1215
sgC2orf40_1	C2orf40	1815	1322	1685	1250
sgDERA_3	DERA	2368	1914	1738	1187
sgAMZ1_1	AMZ1	3207	1671	1209	678
sgPPIP5K2_2	PPIP5K2	1840	1331	613	331
sgTMEM72_2	TMEM72	674	682	2851	1545
sgHMOX2_1	HMOX2	1036	757	431	567
sgPLEKHA2_1	PLEKHA2	2171	1713	742	469
sgBTN3A2_2	BTN3A2	1520	1810	4379	4090
sgSAFB2_2	SAFB2	759	486	755	134
sgZADH2_4	ZADH2	646	195	4062	803
sgDCP2_2	DCP2	1534	1618	827	1017
sgOR6Y1_1	OR6Y1	1338	1097	40	53
sgMAGEA10_2	MAGEA10	860	536	851	812
sgMAGEL2_1	MAGEL2	1841	1568	1028	508
sgZDBF2_1	ZDBF2	1113	826	4535	2788
sgHID1_4	HID1	1537	1328	1229	759
sgTRIB3_1	TRIB3	991	1089	905	945
sgRBM26_1	RBM26	354	221	356	138
sgDNAJC15_1	DNAJC15	1639	758	777	911
sgTMEM239_4	TMEM239	622	659	800	607
sgZNF680_3	ZNF680	1036	1397	2705	2156
sgFAM156B_4	FAM156B	1629	1236	2817	1358
sgIFNGR1_2	IFNGR1	793	576	1581	1718
sgCDCP2_4	CDCP2	519	495	354	257
sgTSGA10_3	TSGA10	1680	985	773	609
sgATL3_2	ATL3	456	384	1169	1119
sgZNF618_1	ZNF618	1172	1136	2016	1497
sgMICAL3_2	MICAL3	2659	1490	650	644
sgUGT2A2_4	UGT2A2	1198	1299	2644	1244
sgLOC101929372_3	LOC101929372	563	481	1360	1196
sgCYP27C1_1	CYP27C1	486	453	395	312
sgPM20D2_2	PM20D2	639	712	814	831
sgGALNT18_1	GALNT18	1589	1323	767	989
sgMSTO1_1	MSTO1	916	964	1055	765
sgPFDN6_2	PFDN6	87	102	159	203
sgPIGZ_3	PIGZ	1996	1241	1569	1154
sgPRSS22_2	PRSS22	1251	1334	194	425
sgTXN2_1	TXN2	845	704	878	1004
sgCRTAM_1	CRTAM	479	567	498	413
sgZBTB8B_3	ZBTB8B	716	368	291	611
sgNCOA4_1	NCOA4	2326	1746	1140	1178
sgFURIN_1	FURIN	1579	878	1804	2035
sgKRTAP12-4_2	KRTAP12-4	1436	1540	3304	2124
sgAMER3_1	AMER3	505	1207	123	125
sgMYH11_2	MYH11	898	736	1925	732
sgTBC1D3B_3	TBC1D3B	573	673	178	54
sgATF4_1	ATF4	301	449	2687	2423
sgPLAG1_1	PLAG1	4198	2780	2610	2801
sgOCSTAMP_2	OCSTAMP	545	645	1133	687
sgCELSR3_3	CELSR3	1253	1096	3438	3179
sgTNFRSF4_2	TNFRSF4	815	1084	1130	1541
sgKRT39_3	KRT39	2211	2354	1572	1659
sgGSG1L_2	GSG1L	260	238	326	289
sgZADH2_3	ZADH2	981	978	1128	933
sgC9orf62_3	C9orf62	678	2216	2254	1930
sgCTTNBP2_3	CTTNBP2	1154	695	1503	1487
sgSEC16B_4	SEC16B	767	565	199	192
sgMEIS3_4	MEIS3	580	451	1369	1195
sgUHRF1BP1_1	UHRF1BP1	949	633	1244	660
sgCD248_4	CD248	875	1047	1526	1210
sgROMO1_3	ROMO1	170	164	329	317
sgPRR16_1	PRR16	1307	774	2960	958
sgANKHD1-EIF4EBP3_2	ANKHD1-EIF4EBP3	1767	635	1039	617
sgZNF639_4	ZNF639	905	623	1662	1041
sgVKORC1L1_4	VKORC1L1	1486	827	405	353
sgSNRNP200_2	SNRNP200	128	43	49	78
sgPSMD1_4	PSMD1	373	511	627	329
sgLRRN4CL_3	LRRN4CL	686	300	756	297
sgGOLIM4_1	GOLIM4	1497	1697	1510	1233
sgCFH_1	CFH	2562	2184	5807	5149
sgGEMIN6_4	GEMIN6	918	631	4234	2235
sgPQLC2_2	PQLC2	1522	1244	1262	1300
sgERICH1_1	ERICH1	868	299	69	132
sgZNF275_4	ZNF275	1829	1081	3928	2887
sgTAP1_2	TAP1	1923	1467	1834	872
sgHIST1H2AH_2	HIST1H2AH	2901	1924	3834	2205
sgDNAH7_2	DNAH7	877	531	2408	1369
sgSLITRK1_1	SLITRK1	865	1206	2178	1834
sgDIS3L2_1	DIS3L2	2094	2114	4671	3098
sgTRIM37_2	TRIM37	307	200	2956	1749
sgTMEM14B_1	TMEM14B	764	648	595	528
sgRASGRP3_3	RASGRP3	1269	934	4143	2309
sgCLCC1_2	CLCC1	526	448	852	257
sgOR9Q2_4	OR9Q2	1436	791	5932	2470
sgCCL5_2	CCL5	1542	1097	613	654
sgSLC17A9_2	SLC17A9	582	627	216	220
sgLAPTM4B_4	LAPTM4B	1610	2212	515	515
sgDBF4B_2	DBF4B	314	268	1337	1265
sgPRELID2_1	PRELID2	1259	675	423	508
sgSLC38A4_4	SLC38A4	752	472	1365	524
sgC3orf80_2	C3orf80	2938	1509	1230	1263
sgYWHAB_3	YWHAB	798	796	1562	953
sgNANOS3_2	NANOS3	2151	1134	484	736
sgZNF44_2	ZNF44	403	456	359	217
sgKRTAP21-1_2	KRTAP21-1	1479	1231	2988	1613
sgPDGFA_4	PDGFA	609	864	1456	1334
sgCCDC186_2	CCDC186	843	561	457	653
sgPANK4_2	PANK4	849	1062	613	972
sgSCXA_4	SCXA	1593	707	6282	3827
sgC4orf17_1	C4orf17	1555	2072	845	1233
sgSFTPA2_2	SFTPA2	1446	1397	1263	1477
sgFAM198A_4	FAM198A	725	462	697	291
sgBTNL3_4	BTNL3	1736	1126	1817	1812
sgGOLGA6C_4	GOLGA6C	287	264	122	528
sgMERTK_2	MERTK	2024	1394	8088	6065
sgMTMR6_4	MTMR6	505	692	1759	569
sgAHCYL2_4	AHCYL2	1410	1948	1465	1040
sgCABP5_1	CABP5	2216	2032	147	401
sgTUBE1_3	TUBE1	2283	2069	2150	2052
sgLGALS3_4	LGALS3	2423	1822	1514	1289
sgDNAI2_3	DNAI2	556	1167	1837	527
sgGNAS_3	GNAS	250	104	1552	1717
sgKPNA6_1	KPNA6	475	281	4556	2181
sgGPR75_1	GPR75	1332	539	2640	1392
sgTMEM254_3	TMEM254	534	440	2370	2120
sgPOLR3H_2	POLR3H	342	349	58	64
sgPPP5D1_4	PPP5D1	888	798	2917	2274
sgEPHB3_1	EPHB3	2481	2160	6041	4516
sgRAPGEFL1_3	RAPGEFL1	1801	1510	6562	4508
sgDLG4_4	DLG4	1167	1472	1012	1354
sgENDOV_2	ENDOV	407	325	248	181
sgETV3L_3	ETV3L	838	639	334	180
sgORMDL3_2	ORMDL3	667	878	8040	3266
sgCCDC129_3	CCDC129	570	283	2437	1630
sgFXR1_4	FXR1	660	613	512	360
sgADAM11_3	ADAM11	428	559	102	143
sgPABPC1L2A_4	PABPC1L2A	1833	1759	1839	1736
sgSLX1A_3	SLX1A	379	397	901	789
sgSERPINA4_1	SERPINA4	1031	782	1387	954
sgQKI_1	QKI	358	408	1291	523
sgDDX47_1	DDX47	368	422	160	46
sgCLEC9A_2	CLEC9A	1332	964	8869	4195
sgFASTKD5_2	FASTKD5	733	1148	4741	7824
sgTRIM17_1	TRIM17	838	773	3396	3114
sgINTRON-HBG1_1	NegCtrlIntron	314	203	383	349
sgCNOT11_2	CNOT11	951	1207	2501	2602
sgFCGR2B_2	FCGR2B	549	783	1093	1072
sgBDNF_4	BDNF	3066	2512	442	660
sgKCNK6_2	KCNK6	1077	526	1718	1544
sgRNF138_4	RNF138	851	683	889	756
sgS100A10_2	S100A10	869	598	1525	1091
sgXRRA1_2	XRRA1	2839	2040	8174	4233
sgCMC4_1	CMC4	1698	1102	544	963
sgUBL3_4	UBL3	1863	1675	312	131
sgTUT1_3	TUT1	259	338	109	90
sgCDC40_2	CDC40	43	44	514	470
sgTTC9_2	TTC9	370	571	2008	1846
sgPPIL6_2	PPIL6	537	959	1976	1360
sgEFHD1_4	EFHD1	1027	1196	4524	2546
sgOFD1_3	OFD1	3279	2008	2569	2139
sgZNF763_1	ZNF763	1496	949	1636	1346
sgNARFL_4	NARFL	1238	709	1743	921
sgCTAGE6_4	CTAGE6	1254	812	995	401
sgC2orf74_2	C2orf74	754	322	10577	7336
sgCCDC12_1	CCDC12	1551	1522	1756	1824
sgSLC26A10_2	SLC26A10	547	317	1200	1073
sgTHRSP_2	THRSP	1552	961	1479	723
sgRPS27_1	RPS27	1629	1590	1520	1388
sgNDUFB11_4	NDUFB11	1282	823	758	599
sgKIAA0040_4	KIAA0040	823	936	650	279
sgADAMTS8_3	ADAMTS8	673	418	505	371
sgACAN_3	ACAN	1580	981	1612	1227
sgR3HDM2_1	R3HDM2	1158	1221	869	631
sgGLOD4_2	GLOD4	344	355	1338	1005
sgKRTAP9-6_2	KRTAP9-6	611	877	515	482
sgMAGEB6_4	MAGEB6	2591	2230	1212	884
sgDCUN1D3_1	DCUN1D3	390	175	6084	2930
sgCSRNP1_1	CSRNP1	1289	1088	2673	1139
sgC2orf49_3	C2orf49	620	453	2061	2182
sgZNF578_2	ZNF578	445	303	172	139
sgDGCR6_2	DGCR6	1668	1278	519	1217
sgELK3_1	ELK3	766	637	1919	2002
sgFAM210A_3	FAM210A	1487	1071	2248	1077
sgSIRT6_3	SIRT6	729	688	491	434
sgOPTC_3	OPTC	393	645	416	445
sgRNF169_4	RNF169	575	913	499	612
sgSLC35E1_4	SLC35E1	786	612	2069	1053
sgADARB2_2	ADARB2	387	332	5167	2754
sgLPL_3	LPL	277	127	861	321
sgMACF1_2	MACF1	859	911	805	473
sgPRORY_1	PRORY	740	712	4058	3677
sgXPO1_2	XPO1	218	155	312	460
sgCYB5R1_3	CYB5R1	780	1027	536	586
sgNIPSNAP3A_3	NIPSNAP3A	473	491	48	184
sgCCDC27_3	CCDC27	1009	1129	1022	755
sgAKR1B10_3	AKR1B10	853	750	768	725
sgFGF12_2	FGF12	1794	941	3099	3803
sgGDF3_4	GDF3	486	299	1020	1036
sgGABRR1_3	GABRR1	930	529	1069	1509
sgJAKMIP1_2	JAKMIP1	693	975	2653	1559
sgADAMTSL1_3	ADAMTSL1	1892	1171	4093	2305
sgTLR3_1	TLR3	2621	2011	402	460
sgINTRON-ALAS1_3	NegCtrlIntron	1289	1603	999	1367
sgFOLH1B_4	FOLH1B	913	473	1348	869
sgCDKN2C_2	CDKN2C	964	611	1500	930
Neg_Control_Human_GA_0123	NegCtrl	691	428	957	781
sgANKRD31_1	ANKRD31	1533	1517	2375	1059
sgC19orf67_4	C19orf67	215	182	361	181
sgZNF548_3	ZNF548	1381	1433	443	329
sgDYX1C1_2	DYX1C1	1118	1321	1439	932
sgARMCX5-GPRASP2_1	ARMCX5-GPRASP2	1312	1006	24647	9773
sgRFPL3_3	RFPL3	1329	1025	2834	1808
sgDHX8_1	DHX8	438	436	853	1321
sgCDHR1_1	CDHR1	1018	1155	1561	833
sgSYCN_1	SYCN	1797	1092	335	329
sgPRKCD_3	PRKCD	1023	749	2486	1665
sgRAPGEF3_1	RAPGEF3	836	658	784	949
sgKLHL25_2	KLHL25	416	357	493	597
sgKRTAP9-1_4	KRTAP9-1	619	566	1400	1304
sgUQCR11_4	UQCR11	778	732	1424	804
sgC17orf112_3	C17orf112	924	828	1882	3204
sgCDK15_3	CDK15	584	495	416	692
sgIFT122_1	IFT122	357	219	2867	2169
sgLHB_3	LHB	914	903	2358	2253
sgZNF879_3	ZNF879	1136	289	1480	735
sgIRF7_1	IRF7	1328	1031	1229	1183
sgSLC31A2_2	SLC31A2	554	608	820	398
sgLSP1_3	LSP1	1147	939	598	923
sgTRPM4_2	TRPM4	1201	786	1765	813
sgFKBP8_4	FKBP8	509	388	714	457
sgINTRON-UBC_5	NegCtrlIntron	2342	1933	2903	1751
sgCEP295NL_1	CEP295NL	370	261	1468	558
sgTBC1D32_1	TBC1D32	711	662	8	63
sgTMEM242_4	TMEM242	475	984	853	514
sgSETD7_4	SETD7	682	748	962	1241
sgOR1J2_4	OR1J2	389	479	324	40
sgHOXA5_3	HOXA5	492	446	1020	610
sgSRRM1_3	SRRM1	824	530	860	515
sgHPS5_4	HPS5	457	315	2234	1491
sgNPY1R_4	NPY1R	733	337	4191	1484
sgMOG_3	MOG	700	616	889	1204
sgGRIPAP1_4	GRIPAP1	913	817	1193	713
sgDUS2_2	DUS2	920	1200	1331	2537
sgZFP42_1	ZFP42	633	598	604	430
sgGPR180_2	GPR180	830	809	545	402
sgNBPF24_2	NBPF24	1785	1422	71	118
sgTIGD1_1	TIGD1	522	586	980	769
sgTNS4_4	TNS4	1672	934	692	746
sgZKSCAN5_3	ZKSCAN5	1238	764	1772	871
sgLCE2C_1	LCE2C	664	950	3245	2319
sgPOLE4_3	POLE4	793	710	2534	1762
sgCXCL3_1	CXCL3	908	932	1848	1734
sgGRM6_1	GRM6	461	834	293	476
sgHTR1B_2	HTR1B	1211	1102	6681	3751
sgSRFBP1_2	SRFBP1	686	514	1632	603
sgTMEM51_3	TMEM51	706	289	1296	679
sgARHGEF16_3	ARHGEF16	521	490	253	275
sgSELO_2	SELO	1337	1625	205	173
sgBLOC1S3_2	BLOC1S3	1119	956	1186	644
sgPCDHGC3_1	PCDHGC3	548	622	651	459
sgCARD18_1	CARD18	575	479	870	669
sgPNRC2_1	PNRC2	1201	1395	1531	1672
sgAMACR_4	AMACR	858	649	838	665
sgC14orf105_1	C14orf105	832	816	3333	1547
sgCETP_2	CETP	523	580	4361	2966
sgMRPS9_2	MRPS9	321	306	480	176
sgAMY2B_3	AMY2B	713	528	2191	1288
sgKRTAP10-11_4	KRTAP10-11	1646	3041	991	845
sgLAMP3_2	LAMP3	2644	2263	1793	2865
sgST13_4	ST13	188	253	3280	2297
sgPVRL4_3	PVRL4	1049	706	2401	2293
sgCDPF1_3	CDPF1	1160	1241	555	360
sgSLFN5_1	SLFN5	1014	976	1847	1227
sgPTTG2_2	PTTG2	475	363	940	842
sgHLA-DOB_4	HLA-DOB	1568	1597	305	227
sgCCDC182_4	CCDC182	353	196	979	756
sgACTB_3	ACTB	219	437	715	548
sgLRRIQ4_2	LRRIQ4	630	290	2739	1909
sgSNRNP48_1	SNRNP48	610	673	2727	1561
sgIRS2_4	IRS2	1846	1160	751	1146
sgGPR45_1	GPR45	414	435	561	262
sgCCDC185_4	CCDC185	2004	1648	466	228
sgMPL_2	MPL	1312	1067	1918	2126
Neg_Control_Human_GA_0383	NegCtrl	1371	1065	1502	1125
sgZNF761_4	ZNF761	1067	848	1442	972
sgSPATA31A5_2	SPATA31A5	1246	1480	2963	2400
sgZMAT1_2	ZMAT1	440	411	3856	4958
sgVSTM4_3	VSTM4	1835	1342	236	313
sgPIGT_2	PIGT	2352	2040	273	504
sgOR8K3_4	OR8K3	2352	2115	1849	1185
sgCCDC24_1	CCDC24	3612	2376	1169	956
sgSTARD6_1	STARD6	1391	1169	10300	5013
sgTFEB_4	TFEB	1416	1686	949	851
sgCREBL2_1	CREBL2	1556	1241	1652	1548
sgITGA7_1	ITGA7	550	406	13755	4901
sgIL6ST_3	IL6ST	1573	1050	705	605
sgTAPBPL_1	TAPBPL	1580	1538	3287	2239
sgMEOX2_1	MEOX2	293	163	6634	3472
sgARHGEF10L_1	ARHGEF10L	866	1050	2620	1204
sgRXRB_4	RXRB	801	984	2509	1537
sgRDM1_1	RDM1	1016	989	7297	4971
sgC4orf33_1	C4orf33	1806	2339	5417	2476
sgADGRA2_4	ADGRA2	434	660	4071	2574
sgUSP41_4	USP41	625	623	783	639
sgZNF322_2	ZNF322	894	745	172	189
sgTLR5_3	TLR5	490	456	3649	2102
sgSOD3_1	SOD3	3385	2997	1729	1312
sgTOR2A_3	TOR2A	1396	1105	9747	5130
sgFAM65B_1	FAM65B	630	653	1103	769
sgTBX10_4	TBX10	1560	1547	6096	3181
sgDUOX1_3	DUOX1	28	105	0	0
sgAKAP8_2	AKAP8	5235	2614	1564	2081
sgZNF460_1	ZNF460	758	867	721	471
sgLAMP2_2	LAMP2	1175	1259	2005	5974
sgMAPK3_1	MAPK3	1033	666	358	613
sgMBTPS1_4	MBTPS1	947	687	2032	1979
sgCFAP58_3	CFAP58	581	515	969	1016
sgRAB39B_3	RAB39B	907	576	2787	3314
sgITGAM_1	ITGAM	475	442	1602	1481
sgNAA30_4	NAA30	610	251	3143	3123
sgSCO1_3	SCO1	1493	2017	1452	1099
sgHDX_4	HDX	1047	780	1258	617
sgIRS1_2	IRS1	717	769	202	125
sgARC_1	ARC	2956	2449	646	196
sgLOC100996634_3	LOC100996634	798	558	7121	2368
sgZCCHC4_4	ZCCHC4	1930	1513	1283	1796
sgMFSD9_1	MFSD9	1074	784	681	466
sgL3HYPDH_4	L3HYPDH	1323	732	2289	1107
sgLOR_1	LOR	1813	1020	2613	1633
sgC11orf24_1	C11orf24	633	773	6863	2210
sgPGM1_1	PGM1	786	1149	532	529
sgSIRT7_3	SIRT7	806	493	883	1358
sgC12orf65_3	C12orf65	1102	1299	1526	1135
sgMCOLN3_4	MCOLN3	1958	1480	457	522
sgGPR63_4	GPR63	848	523	940	607
sgMETTL1_2	METTL1	949	977	3151	3595
sgCUL4A_2	CUL4A	757	776	2233	1072
sgCST7_4	CST7	1842	1820	1048	2174
sgEPDR1_3	EPDR1	997	493	1340	1897
sgMCM10_4	MCM10	1473	1645	699	678
sgMAG_1	MAG	1275	986	101	127
sgGJD2_1	GJD2	1293	933	4997	4265
sgC7orf71_2	C7orf71	2355	1554	2208	1918
sgSHROOM3_3	SHROOM3	1592	1507	1257	1064
sgHECTD1_1	HECTD1	639	1092	1511	1006
sgMYD88_1	MYD88	740	668	1153	1159
sgFAM153B_2	FAM153B	679	847	2389	1258
sgKCNMA1_3	KCNMA1	1474	1511	1254	637
sgCOPZ1_4	COPZ1	97	72	1548	901
sgRREB1_3	RREB1	922	667	433	494
sgBBX_4	BBX	1234	873	721	603
sgTMEM19_3	TMEM19	488	149	520	952
sgPSD_2	PSD	1134	1203	3711	1817
sgPITHD1_2	PITHD1	1591	856	801	121
sgHIST1H2BK_3	HIST1H2BK	669	291	113	207
sgZNF219_1	ZNF219	868	624	550	465
sgOSM_3	OSM	1565	1294	2233	1826
sgMTUS2_3	MTUS2	710	607	728	383
sgCIT_1	CIT	1544	849	1376	936
sgADO_1	ADO	1333	817	5003	3207
sgINHA_3	INHA	1778	1963	2852	1937
sgC16orf62_4	C16orf62	476	570	683	801
sgMESDC2_2	MESDC2	837	476	410	297
sgALG5_1	ALG5	2490	1622	93409	21223
sgPKHD1_4	PKHD1	259	316	1131	570
sgMACROD1_3	MACROD1	2706	2233	1557	1281
sgIL26_3	IL26	1933	1097	728	729
sgEIF2B1_2	EIF2B1	440	211	973	1336
sgPLK4_1	PLK4	737	782	554	769
sgHAMP_4	HAMP	1266	515	392	270
sgPPIF_3	PPIF	1645	1407	11278	5499
sgMAGEB17_2	MAGEB17	1371	1405	3120	2094
sgCOX7A1_4	COX7A1	860	659	1150	1247
sgNLRP10_1	NLRP10	552	331	2933	2135
sgCFAP53_2	CFAP53	1975	1329	2231	1310
sgMFAP2_2	MFAP2	276	479	867	1149
sgFGR_3	FGR	2672	1454	2925	2048
sgPHGR1_4	PHGR1	852	897	6313	4894
sgNIF3L1_3	NIF3L1	2050	1049	5075	2231
sgNLRP11_1	NLRP11	1571	1008	2160	1195
sgMYLK2_3	MYLK2	3691	3150	741	956
sgFBN1_3	FBN1	953	1081	259	428
sgMSRA_3	MSRA	2196	1973	2222	1485
sgEIF4E_2	EIF4E	690	554	998	619
sgSLC35G1_1	SLC35G1	661	722	236	205
sgNR1I3_2	NR1I3	628	650	950	919
sgZNF24_4	ZNF24	223	180	1323	777
sgIFIT1_1	IFIT1	837	883	583	687
sgDTD1_1	DTD1	745	1165	1627	1218
sgB4GALT6_1	B4GALT6	586	781	247	477
sgSDHAF2_3	SDHAF2	1023	1886	491	539
sgCYTH1_3	CYTH1	458	288	394	403
sgUFSP1_1	UFSP1	3028	2226	2152	1759
sgPERM1_3	PERM1	1190	721	1516	1363
sgTRIM72_2	TRIM72	1307	1179	5662	3568
sgNLRP1_4	NLRP1	1266	1242	1114	1665
sgFAM81B_1	FAM81B	352	478	100	98
sgMEST_4	MEST	717	826	3835	2861
sgTMEM165_2	TMEM165	489	420	408	415
sgSOCS6_1	SOCS6	1470	1021	3326	3929
sgRBM15B_3	RBM15B	895	736	1805	1861
sgLOC101929983_3	LOC101929983	892	845	2231	1253
sgFGFR3_1	FGFR3	737	773	1848	1645
sgEIF4G2_3	EIF4G2	894	948	12747	5942
sgDLGAP5_3	DLGAP5	895	324	42	145
sgOR2AE1_1	OR2AE1	748	301	1038	551
sgCYP27C1_3	CYP27C1	912	688	2137	2221
sgSLC4A11_4	SLC4A11	384	597	512	780
sgURGCP-MRPS24_1	URGCP-MRPS24	546	435	2707	1872
sgRAB15_4	RAB15	1175	1420	1253	1660
